Name,MC #,Symbol,Price,BTC,1h,24h,7d,14d,30d,45d,90d,200d,Mkt. Cap
FidentiaX,758,,FDX,0.0123,0.00000155,-0.23,-1.28,57.96,81.35,19.84,109.99,-9.11,-39.70
Vites,571,,VITES,0.00007902,0.00000001,-0.12,-2.80,29.60,118.96,94.40,96.02,,
Megacoin,1034,,MEC,0.0094,0.00000119,-1.66,-21.03,24.43,228.03,325.58,281.58,31.40,15.37
LiteDoge,937,,LDOGE,0.00003790,0.0000,3.71,-20.96,38.78,14.59,-4.67,-6.63,-42.73,-58.42
GazeCoin,1643,,GZE,0.0078,0.00000099,0.00,0.00,42.11,-19.67,-35.07,-52.66,-61.73,
EDUCare,134,,EKT,0.0512,0.00000647,0.23,-0.23,10.49,533.15,406.89,531.87,244.03,-23.30
Magi,1061,,XMG,0.0355,0.00000448,-0.13,19.72,19.72,248.52,192.08,209.77,93.43,-72.00
BoostCoin,1468,,BOST,0.0017,0.00000022,-0.12,1.86,-0.94,-38.25,-44.38,-46.65,-67.48,-73.40
EmaratCoin,1641,,AEC,0.0100,0.00000126,-12.04,-13.46,-17.36,-75.76,-50.89,-45.84,-83.94,
Coni,1642,,CONI,0.0296,0.00000373,-1.21,6.67,0.10,359.22,222.21,161.84,9.37,-68.35
Bullion,1020,,CBX,0.3697,0.00010709,0.00,0.00,0.00,0.00,-41.57,-35.08,-73.50,-81.91
Bitradio,1070,,BRO,0.0397,0.00000501,0.00,0.00000000,29.23,122.68,90.05,87.05,0.12,-35.99
Iqcash,1472,,IQ,0.0051,0.00000065,-0.05,18.68,22.36,152.59,22.38,-24.12,-84.44,
SocialCoin,1541,,SOCC,0.0006,0.00000007,-0.11,-33.31,-33.31,411.69,-8.52,-66.83,-91.36,-94.43
Sphere,372,,SPHR,0.5691,0.00007184,-2.32,-1.48,3.06,9.87,55.16,24.75,-3.09,-34.76
ArbitrageCT,1288,,ARCT,0.0009,0.00000012,-0.12,48.47,41.34,31.44,2.89,-19.31,-65.90,-73.59
Jin Coin,1405,,JIN,0.0040,0.00000050,-0.13,-53.25,-38.78,3.15,-31.77,-33.94,-54.95,
QYNO,1559,,QNO,0.0034,0.00000043,-0.12,68.88,-6.31,-90.48,-95.01,-96.18,-98.61,
Datacoin,1510,,DTC,0.0003,0.00000004,-0.11,-2.77,-13.61,-48.29,-56.52,-62.29,-86.07,-92.56
Peony,1563,,PNY,0.0073,0.00000093,-0.07,-57.01,-60.09,519.33,304.11,327.97,48.41,
ArtByte,820,,ABY,0.0013,0.00000016,-1.27,4.94,22.19,3.28,-10.70,-13.87,-48.95,-70.27
Emerald Crypto,1207,,EMD,0.0080,0.00000101,0.00,-2.09,0.49,139.77,82.47,50.76,-1.62,-21.45
Sub Invest,1505,,SUBX,0.00000003,0.0000,0.00,0.00000000,0.75,-3.90,-14.05,-13.53,-45.99,
KoreCoin,453,,KORE,0.5428,0.00006853,1.31,-9.21,-4.92,31.05,28.38,30.82,-38.28,-62.57
DEW,184,,DEW,0.1958,0.00002472,-0.28,0.55,29.96,235.47,232.84,183.93,22.50,-52.83
Startcoin,1179,,START,0.0038,0.00000048,-0.13,14.32,14.32,133.87,104.84,104.17,-17.16,-60.46
GreenMed,1438,,GRMD,0.0021,0.00000026,-10.39,-9.34,78.85,-74.10,-27.24,2.27,-46.79,-86.00
KingXChain,1639,,KXC,0.00000326,0.0000,-1.68,5.28,58.86,80.54,-9.78,2.28,-53.05,
vSlice,1334,,VSL,0.0019,0.00000025,-0.12,-11.62,5.23,-10.68,-33.24,-16.36,-56.98,-97.25
StarterCoin,1177,,STAC,0.0005,0.00000006,-5.66,-18.36,-0.69,-26.07,-57.57,-42.15,-62.76,-84.36
BERNcash,1360,,BERN,0.0008,0.00000010,0.00,47.12,47.12,119.06,144.85,117.38,-19.02,-60.83
ZIP,303,,ZIP,0.0006,0.00000008,-1.18,27.68,44.33,96.27,68.73,48.10,-49.70,-87.50
Sugar Exchange,1306,,SGR,0.0032,0.00000040,-13.62,-0.70,-10.50,-29.35,-39.71,-39.65,-79.35,-97.20
DarkPayCoin,1640,,DKPC,0.0043,0.00000054,-0.15,-13.09,-8.47,-79.73,-86.04,-92.77,-97.61,
PrimeStone,1481,,PSC,0.0022,0.00000028,-0.12,-0.57,32.43,-64.93,-66.85,-75.25,-77.94,
Gentarium,815,,GTM,0.3111,0.00003928,-0.17,-3.21,-9.60,-53.09,-59.83,-60.41,-57.88,
Quark,850,,QRK,0.0033,0.00000042,0.00,-2.03,-39.81,30.06,102.12,8.03,-55.21,-50.66
WXCOINS,1633,,WXC,0.0106,0.00000134,-0.09,-1.52,25.93,-98.95,-99.55,-97.77,-99.61,
KARMA,796,,KARMA,0.0003,0.00000004,-1.97,4.93,-0.89,6.18,-35.17,-34.11,-80.58,
Woodcoin,1006,,LOG,0.0500,0.00001449,0.00,0.00000000,0.00000000,-0.26,-17.15,-31.71,-30.95,-51.73
Minereum,1390,,MNE,0.0080,0.00000101,0.20,25.20,-27.64,43.52,8.56,7.86,-69.17,-90.27
Ice Rock Mining,546,,ROCK2,0.2123,0.00002680,2.21,-3.20,45.41,9.14,-11.01,-31.04,-37.76,
Datarius Credit,1238,,DTRC,0.0010,0.00000013,-7.81,2.68,17.65,42.64,12.24,23.89,-37.53,-69.70
Wi Coin,1742,,WIC,0.0001,0.00000004,-0.48,-0.32,0.11,-35.84,-14.33,-13.95,-29.33,-76.63
Californium,1504,,CF,0.0056,0.00000071,0.00000000,0.00,0.00000000,41.72,22.08,9.51,-52.38,-63.61
iTicoin,1314,,ITI,2.44,0.00030813,-2.12,-0.20,5.59,31.94,-7.76,-13.64,-36.07,-78.06
Bitvolt,1549,,VOLT,0.0003,0.00000004,-0.13,6.66,6.66,120.04,93.55,161.76,-45.59,-73.30
bitGold,1228,,BITGOLD,717.81,0.09062195,0.00000000,1.84,34.84,-19.66,-24.73,-25.80,-39.80,-47.13
Magnum,1576,,MGM,0.0003,0.00000004,-0.13,-2.80,3.65,-19.81,-21.53,60.11,-29.95,-74.92
Joincoin,1420,,J,0.0107,0.00000135,0.21,-2.99,36.22,-14.24,-53.78,-44.24,-63.24,-84.60
Centurion,1473,,CNT,0.0003,0.00000003,-0.13,4.32,-19.13,-31.01,-54.59,-30.01,-69.68,-90.39
PayCoin,1157,,XPY,0.0153,0.00000193,-0.13,-16.31,48.52,69.47,40.87,46.86,25.20,-25.49
PetroDollar,771,,XPD,0.0191,0.00000241,-0.12,30.16,30.16,40.65,23.48,-7.66,-48.91,116.19
XOVBank,1063,,XOV,0.0025,0.00000031,0.99,-10.85,18.42,13.37,49.23,191.28,-16.26,
BowsCoin,1521,,BSC,0.0016,0.00000020,0.00,0.00000000,0.00000000,129.26,125.15,113.11,-51.46,-51.19
Read,1747,,READ,0.0031,0.00000039,1.41,0.91,-2.56,55.87,34.89,51.92,-11.72,-59.48
Stronghold Token,959,,SHX,0.0005,0.00000006,-6.01,9.88,53.56,-45.52,-86.72,,,
LiteCoin Ultra,1523,,LTCU,0.0077,0.00000097,0.00,-25.18,-25.18,161.90,27.67,133.00,-52.06,-56.33
Bitdeal,1452,,BDL,0.0002,0.00000002,-0.13,-42.12,-48.17,-37.30,-65.59,-64.52,-83.67,-94.49
Compound Coin,1391,,COMP,0.00000104,0.0000,0.80,7.74,22.16,-54.95,-74.71,-82.65,-93.88,
KingN Coin,1487,,KNC,8.58,0.00108317,0.00000000,0.00,0.00,7.57,-7.49,-11.15,-26.13,-26.82
Luna Coin,1401,,LUNA,0.0241,0.00000304,0.84,-23.61,119.63,"2,399","1,657","1,289",244.63,59.06
SmartCoin,1382,,SMC,0.0019,0.00000024,0.00000000,0.00,0.00000000,59.76,22.42,-9.53,-60.18,-77.96
Ethereum Lite,1746,,ELITE,0.0743,0.00000938,-0.13,-6.65,-6.65,-22.99,-2.70,0.44,-36.71,-68.93
GeertCoin,1570,,GEERT,0.0004,0.00000012,0.00,0.00,0.00,-0.92,10.90,0.40,-75.37,-90.78
Commodity Ad Network,1133,,CDX,0.0066,0.00000191,0.84,8.33,107.69,170.78,225.87,209.51,-23.06,-71.53
HarmonyCoin,1585,,HMC,0.0002,0.00000002,-0.13,-70.26,194.67,121.74,-12.88,8.40,-56.43,-97.44
PAWS Fund,1427,,PAWS,0.1771,0.00002236,5.83,6.89,-21.64,-55.32,-41.65,-75.90,-88.48,
Aricoin,1400,,ARI,0.0002,0.00000005,0.00,0.00000000,0.00,0.00,-26.49,-35.76,-60.81,-87.41
Plex Coin,1745,,PLX,0.0035,0.00000102,0.00,0.00,-4.51,-2.42,-31.90,-30.37,-60.43,-52.61
VapersCoin,1575,,VPRC,0.00000196,0.0000,0.00,0.00000000,0.00,0.00,-12.06,-22.57,-61.99,-97.35
AvatarCoin,1743,,AV,0.1855,0.00002342,0.00,31.23,31.23,504.71,311.69,398.31,359.46,372.23
Promotion Coin,1744,,PC,0.0004,0.00000005,-0.03,-2.08,1.51,71.53,23.15,35.29,-17.08,
Coimatic 2.0,1572,,CTIC2,0.0001,0.00000004,0.00,0.00000000,28.94,-3.62,-28.60,-14.50,-56.82,-76.57
High Voltage,1483,,HVCO,0.0123,0.00000156,-0.13,48.56,48.56,30.47,7.35,10.18,-55.46,-86.32
BenjiRolls,1537,,BENJI,0.0003,0.00000004,0.00,0.00000000,9.40,344.50,299.24,152.73,-66.99,-87.67
Safe Trade Coin,1459,,XSTC,0.00007902,0.00000001,-0.13,-51.40,49.43,118.94,-30.49,4.51,-38.79,-78.67
Veltor,1531,,VLT,0.0123,0.00000156,-0.13,11.41,11.41,147.50,114.81,52.37,-53.26,-87.28
Coimatic 3.0,1579,,CTIC3,0.0005,0.00000006,0.00,0.01,15.11,35.28,-19.88,-26.61,-52.93,-78.22
Obitan Chain,1702,,OBTC,0.00004060,0.00000001,0.00,0.00000000,0.00000000,"3,153","2,436","2,591",97.83,
TerraNova,1703,,TER,0.1409,0.00001779,-1.42,13.30,33.86,306.23,304.93,407.14,239.20,-89.72
Dix Asset,1454,,DIX,0.00000027,0.0000,-1.26,-0.62,12.34,0.67,-20.62,-24.70,-60.08,-96.27
BitCoal,1557,,COAL,0.0009,0.00000011,-0.13,-2.80,42.52,-50.38,-67.92,-70.30,-96.64,
bitBTC,1192,,BITBTC,"3,955.81",0.49941388,-5.96,-3.42,-6.87,26.00,-13.73,6.96,-36.02,-52.22
BTCtalkcoin,1319,,TALK,0.0011,0.00000014,-0.12,-1.71,-1.71,-9.78,0.59,-21.09,-60.13,-84.44
POLY AI,1584,,AI,0.00004500,0.00000001,-0.44,29.91,3.79,13.29,-34.57,-39.02,-53.28,-77.47
NobleCoin,1091,,NOBL,0.0001,0.00000003,0.00000000,0.00,0.00,0.00,37.30,-7.30,-57.03,-75.10
Rubies,1136,,RBIES,0.0203,0.00000256,-0.26,-6.04,22.74,294.26,222.02,220.80,17.10,-10.24
Virtacoin,1553,,VTA,0.00000096,0.0000,-0.20,-5.40,29.58,-17.86,-17.86,-27.18,-83.46,-91.28
GuccioneCoin,1403,,GCC,0.0020,0.00000025,-0.13,22.79,22.79,118.93,58.70,20.88,-1.15,-33.34
Litecred,1475,,LTCR,0.0006,0.00000008,0.00,19.92,19.92,57.54,42.69,94.73,-17.43,-33.38
Eurocoin,1480,,EUC,0.0015,0.00000019,-0.13,-20.01,-20.01,-21.43,-17.83,160.91,-44.74,-77.70
Printerium,1418,,PRX,0.0005,0.00000006,11.41,-27.97,-52.35,-99.06,-99.47,,,
SongCoin,1526,,SONG,0.0002,0.00000003,-0.12,58.53,-1.46,30.62,93.65,94.69,-40.19,-84.07
Elysium,1425,,ELS,0.0024,0.00000030,0.00,-2.85,115.82,175.77,287.95,294.27,41.40,-61.63
Cashcoin,1354,,CASH,0.0011,0.00000014,-0.12,87.08,29.72,90.22,149.01,63.27,-68.45,-89.93
Dollarcoin,1471,,DLC,0.0022,0.00000028,-0.13,13.12,13.12,106.60,72.58,17.97,-56.49,-87.02
Cannation,1536,,CNNC,0.0026,0.00000033,0.29,0.41,0.41,21.29,-34.26,-34.31,-68.35,-79.23
Impact,1373,,IMX,0.0005,0.00000006,-0.13,19.51,19.51,64.31,145.22,96.26,47.29,-73.53
Coin2.1,1430,,C2,0.0004,0.00000005,0.00,0.00000000,0.00,11.50,25.02,25.02,-63.98,-78.13
Elcoin,970,,EL,0.0435,0.00000549,-0.25,-2.19,14.07,163.04,84.08,246.60,126.42,-19.91
CrevaCoin,1565,,CREVA,0.00007902,0.00000001,-0.13,-33.34,-33.34,118.95,34.48,96.32,-38.58,-1.67
Save and Gain,1571,,SANDG,0.0006,0.00000008,-0.12,5.43,5.43,5.38,-1.93,-19.37,-38.33,-90.19
Internet of Things,1701,,XOT,56.92,0.01648692,-0.48,-0.31,5.24,-11.41,-18.79,-32.50,-41.32,-67.83
Wi Coin,1742,,WIC,0.0001,0.00000004,-0.48,-0.32,0.11,-35.84,-14.33,-13.95,-29.33,-76.63
Californium,1504,,CF,0.0056,0.00000071,0.00000000,0.00,0.00000000,41.72,22.08,9.51,-52.38,-63.61
iTicoin,1314,,ITI,2.44,0.00030813,-2.12,-0.20,5.59,31.94,-7.76,-13.64,-36.07,-78.06
Bitvolt,1549,,VOLT,0.0003,0.00000004,-0.13,6.66,6.66,120.04,93.55,161.76,-45.59,-73.30
bitGold,1228,,BITGOLD,717.81,0.09062195,0.00000000,1.84,34.84,-19.66,-24.73,-25.80,-39.80,-47.13
Magnum,1576,,MGM,0.0003,0.00000004,-0.13,-2.80,3.65,-19.81,-21.53,60.11,-29.95,-74.92
Joincoin,1420,,J,0.0107,0.00000135,0.21,-2.99,36.22,-14.24,-53.78,-44.24,-63.24,-84.60
Centurion,1473,,CNT,0.0003,0.00000003,-0.13,4.32,-19.13,-31.01,-54.59,-30.01,-69.68,-90.39
PayCoin,1157,,XPY,0.0153,0.00000193,-0.13,-16.31,48.52,69.47,40.87,46.86,25.20,-25.49
PetroDollar,771,,XPD,0.0191,0.00000241,-0.12,30.16,30.16,40.65,23.48,-7.66,-48.91,116.19
XOVBank,1063,,XOV,0.0025,0.00000031,0.99,-10.85,18.42,13.37,49.23,191.28,-16.26,
BowsCoin,1521,,BSC,0.0016,0.00000020,0.00,0.00000000,0.00000000,129.26,125.15,113.11,-51.46,-51.19
Read,1747,,READ,0.0031,0.00000039,1.41,0.91,-2.56,55.87,34.89,51.92,-11.72,-59.48
Stronghold Token,959,,SHX,0.0005,0.00000006,-6.01,9.88,53.56,-45.52,-86.72,,,
LiteCoin Ultra,1523,,LTCU,0.0077,0.00000097,0.00,-25.18,-25.18,161.90,27.67,133.00,-52.06,-56.33
Bitdeal,1452,,BDL,0.0002,0.00000002,-0.13,-42.12,-48.17,-37.30,-65.59,-64.52,-83.67,-94.49
Compound Coin,1391,,COMP,0.00000104,0.0000,0.80,7.74,22.16,-54.95,-74.71,-82.65,-93.88,
KingN Coin,1487,,KNC,8.58,0.00108317,0.00000000,0.00,0.00,7.57,-7.49,-11.15,-26.13,-26.82
Luna Coin,1401,,LUNA,0.0241,0.00000304,0.84,-23.61,119.63,"2,399","1,657","1,289",244.63,59.06
SmartCoin,1382,,SMC,0.0019,0.00000024,0.00000000,0.00,0.00000000,59.76,22.42,-9.53,-60.18,-77.96
Ethereum Lite,1746,,ELITE,0.0743,0.00000938,-0.13,-6.65,-6.65,-22.99,-2.70,0.44,-36.71,-68.93
GeertCoin,1570,,GEERT,0.0004,0.00000012,0.00,0.00,0.00,-0.92,10.90,0.40,-75.37,-90.78
Commodity Ad Network,1133,,CDX,0.0066,0.00000191,0.84,8.33,107.69,170.78,225.87,209.51,-23.06,-71.53
HarmonyCoin,1585,,HMC,0.0002,0.00000002,-0.13,-70.26,194.67,121.74,-12.88,8.40,-56.43,-97.44
PAWS Fund,1427,,PAWS,0.1771,0.00002236,5.83,6.89,-21.64,-55.32,-41.65,-75.90,-88.48,
Aricoin,1400,,ARI,0.0002,0.00000005,0.00,0.00000000,0.00,0.00,-26.49,-35.76,-60.81,-87.41
Plex Coin,1745,,PLX,0.0035,0.00000102,0.00,0.00,-4.51,-2.42,-31.90,-30.37,-60.43,-52.61
VapersCoin,1575,,VPRC,0.00000196,0.0000,0.00,0.00000000,0.00,0.00,-12.06,-22.57,-61.99,-97.35
AvatarCoin,1743,,AV,0.1855,0.00002342,0.00,31.23,31.23,504.71,311.69,398.31,359.46,372.23
Promotion Coin,1744,,PC,0.0004,0.00000005,-0.03,-2.08,1.51,71.53,23.15,35.29,-17.08,
Coimatic 2.0,1572,,CTIC2,0.0001,0.00000004,0.00,0.00000000,28.94,-3.62,-28.60,-14.50,-56.82,-76.57
High Voltage,1483,,HVCO,0.0123,0.00000156,-0.13,48.56,48.56,30.47,7.35,10.18,-55.46,-86.32
BenjiRolls,1537,,BENJI,0.0003,0.00000004,0.00,0.00000000,9.40,344.50,299.24,152.73,-66.99,-87.67
Safe Trade Coin,1459,,XSTC,0.00007902,0.00000001,-0.13,-51.40,49.43,118.94,-30.49,4.51,-38.79,-78.67
Veltor,1531,,VLT,0.0123,0.00000156,-0.13,11.41,11.41,147.50,114.81,52.37,-53.26,-87.28
Coimatic 3.0,1579,,CTIC3,0.0005,0.00000006,0.00,0.01,15.11,35.28,-19.88,-26.61,-52.93,-78.22
Obitan Chain,1702,,OBTC,0.00004060,0.00000001,0.00,0.00000000,0.00000000,"3,153","2,436","2,591",97.83,
TerraNova,1703,,TER,0.1409,0.00001779,-1.42,13.30,33.86,306.23,304.93,407.14,239.20,-89.72
Dix Asset,1454,,DIX,0.00000027,0.0000,-1.26,-0.62,12.34,0.67,-20.62,-24.70,-60.08,-96.27
BitCoal,1557,,COAL,0.0009,0.00000011,-0.13,-2.80,42.52,-50.38,-67.92,-70.30,-96.64,
bitBTC,1192,,BITBTC,"3,955.81",0.49941388,-5.96,-3.42,-6.87,26.00,-13.73,6.96,-36.02,-52.22
BTCtalkcoin,1319,,TALK,0.0011,0.00000014,-0.12,-1.71,-1.71,-9.78,0.59,-21.09,-60.13,-84.44
POLY AI,1584,,AI,0.00004500,0.00000001,-0.44,29.91,3.79,13.29,-34.57,-39.02,-53.28,-77.47
NobleCoin,1091,,NOBL,0.0001,0.00000003,0.00000000,0.00,0.00,0.00,37.30,-7.30,-57.03,-75.10
Rubies,1136,,RBIES,0.0203,0.00000256,-0.26,-6.04,22.74,294.26,222.02,220.80,17.10,-10.24
Virtacoin,1553,,VTA,0.00000096,0.0000,-0.20,-5.40,29.58,-17.86,-17.86,-27.18,-83.46,-91.28
GuccioneCoin,1403,,GCC,0.0020,0.00000025,-0.13,22.79,22.79,118.93,58.70,20.88,-1.15,-33.34
Litecred,1475,,LTCR,0.0006,0.00000008,0.00,19.92,19.92,57.54,42.69,94.73,-17.43,-33.38
Eurocoin,1480,,EUC,0.0015,0.00000019,-0.13,-20.01,-20.01,-21.43,-17.83,160.91,-44.74,-77.70
Printerium,1418,,PRX,0.0005,0.00000006,11.41,-27.97,-52.35,-99.06,-99.47,,,
SongCoin,1526,,SONG,0.0002,0.00000003,-0.12,58.53,-1.46,30.62,93.65,94.69,-40.19,-84.07
Elysium,1425,,ELS,0.0024,0.00000030,0.00,-2.85,115.82,175.77,287.95,294.27,41.40,-61.63
Cashcoin,1354,,CASH,0.0011,0.00000014,-0.12,87.08,29.72,90.22,149.01,63.27,-68.45,-89.93
Dollarcoin,1471,,DLC,0.0022,0.00000028,-0.13,13.12,13.12,106.60,72.58,17.97,-56.49,-87.02
Cannation,1536,,CNNC,0.0026,0.00000033,0.29,0.41,0.41,21.29,-34.26,-34.31,-68.35,-79.23
Impact,1373,,IMX,0.0005,0.00000006,-0.13,19.51,19.51,64.31,145.22,96.26,47.29,-73.53
Coin2.1,1430,,C2,0.0004,0.00000005,0.00,0.00000000,0.00,11.50,25.02,25.02,-63.98,-78.13
Elcoin,970,,EL,0.0435,0.00000549,-0.25,-2.19,14.07,163.04,84.08,246.60,126.42,-19.91
CrevaCoin,1565,,CREVA,0.00007902,0.00000001,-0.13,-33.34,-33.34,118.95,34.48,96.32,-38.58,-1.67
Save and Gain,1571,,SANDG,0.0006,0.00000008,-0.12,5.43,5.43,5.38,-1.93,-19.37,-38.33,-90.19
Internet of Things,1701,,XOT,56.92,0.01648692,-0.48,-0.31,5.24,-11.41,-18.79,-32.50,-41.32,-67.83
Wi Coin,1742,,WIC,0.0001,0.00000004,-0.48,-0.32,0.11,-35.84,-14.33,-13.95,-29.33,-76.63
Californium,1504,,CF,0.0056,0.00000071,0.00000000,0.00,0.00000000,41.72,22.08,9.51,-52.38,-63.61
iTicoin,1314,,ITI,2.44,0.00030813,-2.12,-0.20,5.59,31.94,-7.76,-13.64,-36.07,-78.06
Bitvolt,1549,,VOLT,0.0003,0.00000004,-0.13,6.66,6.66,120.04,93.55,161.76,-45.59,-73.30
bitGold,1228,,BITGOLD,717.81,0.09062195,0.00000000,1.84,34.84,-19.66,-24.73,-25.80,-39.80,-47.13
Magnum,1576,,MGM,0.0003,0.00000004,-0.13,-2.80,3.65,-19.81,-21.53,60.11,-29.95,-74.92
Joincoin,1420,,J,0.0107,0.00000135,0.21,-2.99,36.22,-14.24,-53.78,-44.24,-63.24,-84.60
Centurion,1473,,CNT,0.0003,0.00000003,-0.13,4.32,-19.13,-31.01,-54.59,-30.01,-69.68,-90.39
PayCoin,1157,,XPY,0.0153,0.00000193,-0.13,-16.31,48.52,69.47,40.87,46.86,25.20,-25.49
PetroDollar,771,,XPD,0.0191,0.00000241,-0.12,30.16,30.16,40.65,23.48,-7.66,-48.91,116.19
XOVBank,1063,,XOV,0.0025,0.00000031,0.99,-10.85,18.42,13.37,49.23,191.28,-16.26,
BowsCoin,1521,,BSC,0.0016,0.00000020,0.00,0.00000000,0.00000000,129.26,125.15,113.11,-51.46,-51.19
Read,1747,,READ,0.0031,0.00000039,1.41,0.91,-2.56,55.87,34.89,51.92,-11.72,-59.48
Stronghold Token,959,,SHX,0.0005,0.00000006,-6.01,9.88,53.56,-45.52,-86.72,,,
LiteCoin Ultra,1523,,LTCU,0.0077,0.00000097,0.00,-25.18,-25.18,161.90,27.67,133.00,-52.06,-56.33
Bitdeal,1452,,BDL,0.0002,0.00000002,-0.13,-42.12,-48.17,-37.30,-65.59,-64.52,-83.67,-94.49
Compound Coin,1391,,COMP,0.00000104,0.0000,0.80,7.74,22.16,-54.95,-74.71,-82.65,-93.88,
KingN Coin,1487,,KNC,8.58,0.00108317,0.00000000,0.00,0.00,7.57,-7.49,-11.15,-26.13,-26.82
Luna Coin,1401,,LUNA,0.0241,0.00000304,0.84,-23.61,119.63,"2,399","1,657","1,289",244.63,59.06
SmartCoin,1382,,SMC,0.0019,0.00000024,0.00000000,0.00,0.00000000,59.76,22.42,-9.53,-60.18,-77.96
Ethereum Lite,1746,,ELITE,0.0743,0.00000938,-0.13,-6.65,-6.65,-22.99,-2.70,0.44,-36.71,-68.93
GeertCoin,1570,,GEERT,0.0004,0.00000012,0.00,0.00,0.00,-0.92,10.90,0.40,-75.37,-90.78
Commodity Ad Network,1133,,CDX,0.0066,0.00000191,0.84,8.33,107.69,170.78,225.87,209.51,-23.06,-71.53
HarmonyCoin,1585,,HMC,0.0002,0.00000002,-0.13,-70.26,194.67,121.74,-12.88,8.40,-56.43,-97.44
PAWS Fund,1427,,PAWS,0.1771,0.00002236,5.83,6.89,-21.64,-55.32,-41.65,-75.90,-88.48,
Aricoin,1400,,ARI,0.0002,0.00000005,0.00,0.00000000,0.00,0.00,-26.49,-35.76,-60.81,-87.41
Plex Coin,1745,,PLX,0.0035,0.00000102,0.00,0.00,-4.51,-2.42,-31.90,-30.37,-60.43,-52.61
VapersCoin,1575,,VPRC,0.00000196,0.0000,0.00,0.00000000,0.00,0.00,-12.06,-22.57,-61.99,-97.35
AvatarCoin,1743,,AV,0.1855,0.00002342,0.00,31.23,31.23,504.71,311.69,398.31,359.46,372.23
Promotion Coin,1744,,PC,0.0004,0.00000005,-0.03,-2.08,1.51,71.53,23.15,35.29,-17.08,
Coimatic 2.0,1572,,CTIC2,0.0001,0.00000004,0.00,0.00000000,28.94,-3.62,-28.60,-14.50,-56.82,-76.57
High Voltage,1483,,HVCO,0.0123,0.00000156,-0.13,48.56,48.56,30.47,7.35,10.18,-55.46,-86.32
BenjiRolls,1537,,BENJI,0.0003,0.00000004,0.00,0.00000000,9.40,344.50,299.24,152.73,-66.99,-87.67
Safe Trade Coin,1459,,XSTC,0.00007902,0.00000001,-0.13,-51.40,49.43,118.94,-30.49,4.51,-38.79,-78.67
Veltor,1531,,VLT,0.0123,0.00000156,-0.13,11.41,11.41,147.50,114.81,52.37,-53.26,-87.28
Coimatic 3.0,1579,,CTIC3,0.0005,0.00000006,0.00,0.01,15.11,35.28,-19.88,-26.61,-52.93,-78.22
Obitan Chain,1702,,OBTC,0.00004060,0.00000001,0.00,0.00000000,0.00000000,"3,153","2,436","2,591",97.83,
TerraNova,1703,,TER,0.1409,0.00001779,-1.42,13.30,33.86,306.23,304.93,407.14,239.20,-89.72
Dix Asset,1454,,DIX,0.00000027,0.0000,-1.26,-0.62,12.34,0.67,-20.62,-24.70,-60.08,-96.27
BitCoal,1557,,COAL,0.0009,0.00000011,-0.13,-2.80,42.52,-50.38,-67.92,-70.30,-96.64,
bitBTC,1192,,BITBTC,"3,955.81",0.49941388,-5.96,-3.42,-6.87,26.00,-13.73,6.96,-36.02,-52.22
BTCtalkcoin,1319,,TALK,0.0011,0.00000014,-0.12,-1.71,-1.71,-9.78,0.59,-21.09,-60.13,-84.44
POLY AI,1584,,AI,0.00004500,0.00000001,-0.44,29.91,3.79,13.29,-34.57,-39.02,-53.28,-77.47
NobleCoin,1091,,NOBL,0.0001,0.00000003,0.00000000,0.00,0.00,0.00,37.30,-7.30,-57.03,-75.10
Rubies,1136,,RBIES,0.0203,0.00000256,-0.26,-6.04,22.74,294.26,222.02,220.80,17.10,-10.24
Virtacoin,1553,,VTA,0.00000096,0.0000,-0.20,-5.40,29.58,-17.86,-17.86,-27.18,-83.46,-91.28
GuccioneCoin,1403,,GCC,0.0020,0.00000025,-0.13,22.79,22.79,118.93,58.70,20.88,-1.15,-33.34
Litecred,1475,,LTCR,0.0006,0.00000008,0.00,19.92,19.92,57.54,42.69,94.73,-17.43,-33.38
Eurocoin,1480,,EUC,0.0015,0.00000019,-0.13,-20.01,-20.01,-21.43,-17.83,160.91,-44.74,-77.70
Printerium,1418,,PRX,0.0005,0.00000006,11.41,-27.97,-52.35,-99.06,-99.47,,,
SongCoin,1526,,SONG,0.0002,0.00000003,-0.12,58.53,-1.46,30.62,93.65,94.69,-40.19,-84.07
Elysium,1425,,ELS,0.0024,0.00000030,0.00,-2.85,115.82,175.77,287.95,294.27,41.40,-61.63
Cashcoin,1354,,CASH,0.0011,0.00000014,-0.12,87.08,29.72,90.22,149.01,63.27,-68.45,-89.93
Dollarcoin,1471,,DLC,0.0022,0.00000028,-0.13,13.12,13.12,106.60,72.58,17.97,-56.49,-87.02
Cannation,1536,,CNNC,0.0026,0.00000033,0.29,0.41,0.41,21.29,-34.26,-34.31,-68.35,-79.23
Impact,1373,,IMX,0.0005,0.00000006,-0.13,19.51,19.51,64.31,145.22,96.26,47.29,-73.53
Coin2.1,1430,,C2,0.0004,0.00000005,0.00,0.00000000,0.00,11.50,25.02,25.02,-63.98,-78.13
Elcoin,970,,EL,0.0435,0.00000549,-0.25,-2.19,14.07,163.04,84.08,246.60,126.42,-19.91
CrevaCoin,1565,,CREVA,0.00007902,0.00000001,-0.13,-33.34,-33.34,118.95,34.48,96.32,-38.58,-1.67
Save and Gain,1571,,SANDG,0.0006,0.00000008,-0.12,5.43,5.43,5.38,-1.93,-19.37,-38.33,-90.19
